Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,611289,6.7,2100.0,"Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,513983,9.4,1540.0,"Seattle, Washington"
3,ExxonMobil,Petroleum industry,413680,44.8,62.0,"Spring, Texas"
4,Apple,Electronics industry,394328,7.8,163.99999999999997,"Cupertino, California"
5,UnitedHealth Group,Healthcare,324162,12.7,400.0,"Minnetonka, Minnesota"
6,CVS Health,Healthcare,322467,10.4,259.5,"Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,302089,9.4,382.99999999999994,"Omaha, Nebraska"
8,Alphabet,Technology and cloud computing,282836,9.8,156.0,"Mountain View, California"
9,McKesson Corporation,Health,276711,4.8,48.49999999999999,"Irving, Texas"
10,Chevron Corporation,Petroleum industry,246252,51.6,43.846,"San Ramon, California"
11,AmerisourceBergen,Pharmaceutical industry,238587,11.5,41.50000000000001,"Chesterbrook, Pennsylvania"
12,Costco,Retail,226954,15.8,304.0,"Issaquah, Washington"
13,Microsoft,Technology and cloud computing,198270,18.0,221.0,"Redmond, Washington"
14,Cardinal Health,Healthcare,181364,11.6,46.035,"Dublin, Ohio"
15,Cigna,Health insurance,180516,3.7,70.231,"Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,180012,27.6,17.8,"Findlay, Ohio"
17,Phillips 66,Petroleum industry,175702,53.0,13.0,"Houston, Texas"
18,Valero Energy,Petroleum industry,171189,58.0,9.743,"San Antonio, Texas"
19,Ford Motor Company,Automotive industry,158057,15.9,173.0,"Dearborn, Michigan"
20,The Home Depot,Retail,157403,4.1,471.6,"Atlanta, Georgia"
21,General Motors,Automotive industry,156735,23.4,167.0,"Detroit, Michigan"
22,Elevance Health,Healthcare,156595,13.0,102.20000000000002,"Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,154792,21.7,293.723,"New York City, New York"
24,Kroger,Retail,148258,7.5,430.0,"Cincinnati, Ohio"
25,Centene,Healthcare,144547,14.7,74.3,"St. Louis, Missouri"
26,Verizon Communications,Telecommunications,136835,2.4,117.1,"New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,132703,10.7,262.5,"Deerfield, Illinois"
28,Fannie Mae,Financials,121596,19.7,8.0,"Washington, D.C."
29,Comcast,Telecommunications,121427,4.3,186.00000000000003,"Philadelphia, Pennsylvania"
30,AT&T,Conglomerate and telecomunications,120741,28.5,160.7,"Dallas, Texas"
31,Meta Platforms,Technology,116609,1.1,86.482,"Menlo Park, California"
32,Bank of America,Financials,115053,22.6,216.823,"Charlotte, North Carolina"
33,Target Corporation,Retail,109120,2.9,440.0,"Minneapolis, Minnesota"
34,Dell Technologies,Technology,102301,4.4,133.0,"Round Rock, Texas"
35,Archer Daniels Midland,Food industry,101556,19.1,41.181,"Chicago, Illinois"
36,Citigroup,Financials,101078,26.6,238.104,"New York City, New York"
37,United Parcel Service,Transportation,100338,3.1,404.7,"Atlanta, Georgia"
38,Pfizer,Pharmaceutical industry,100330,23.4,83.00000000000001,"New York City, New York"
39,Lowe's,Retail,97059,0.8,244.5,"Mooresville, North Carolina"
40,Johnson & Johnson,Pharmaceutical industry,94943,1.2,152.7,"New Brunswick, New Jersey"
41,FedEx,Transportation,93512,11.4,518.249,"Memphis, Tennessee"
42,Humana,Health insurance,92870,11.8,67.1,"Louisville, Kentucky"
43,Energy Transfer Partners,Petroleum industry,89876,33.3,12.565,"Dallas, Texas"
44,State Farm,Financials,89328,8.6,60.519000000000005,"Bloomington, Illinois"
45,Freddie Mac,Financials,86717,31.6,7.819,"McLean, Virginia"
46,PepsiCo,Beverage,86859,8.7,315.0,"Purchase, New York"
47,Wells Fargo,Financials,82859,0.5,238.0,"San Francisco, California"
48,The Walt Disney Company,Media,82722,22.7,195.79999999999998,"Burbank, California"
49,ConocoPhillips,Petroleum industry,82156,69.9,9.5,"Houston, Texas"
50,Tesla,Automotive and energy,81462,51.4,127.855,"Austin, Texas"
51,Procter & Gamble,Consumer products manufacturing,80187,5.3,106.0,"Cincinnati, Ohio"
52,United States Postal Service,Logistics,78620,2.0,576.0,"Washington, D.C."
53,Albertsons,Retail,77650,8.0,198.64999999999998,"Boise, Idaho"
54,General Electric,Conglomerate,76555,3.2,172.0,"Boston, Massachusetts"
55,MetLife,Financials,69898,1.7,45.0,"New York City, New York"
56,Goldman Sachs,Financials,68711,5.7,48.49999999999999,"New York City, New York"
57,Sysco,Food service,68636,33.8,70.51,"Houston, Texas"
58,Bunge Limited,Food industry,67232,13.7,22.999999999999996,"White Plains, New York"
